FECHA,MS1,MS2,MS3,MS4,MS1n,MS2n,MS3n
2020-10-23 00:00:00,1174,1062,620,0,1250,1124,1215
2020-10-24 00:00:00,979,1049,878,1003,0,0,0
2020-10-25 00:00:00,0,0,0,0,0,0,0
2020-10-26 00:00:00,822,947,768,587,1030,918,957
2020-10-27 00:00:00,644,1026,969,360,489,624,871
2020-10-28 00:00:00,853,1039,589,771,1008,932,562
2020-10-29 00:00:00,877,1011,531,1240,871,882,565
2020-10-30 00:00:00,976,1053,901,1017,1008,939,845
2020-10-31 00:00:00,605,905,445,1595,0,0,0
2020-11-01 00:00:00,0,0,0,0,618,860,489
2020-11-02 00:00:00,912,1640,622,1419,873,1198,558
2020-11-03 00:00:00,955,967,595,0,608,1110,563
2020-11-04 00:00:00,670,1115,606,0,944,916,586
2020-11-05 00:00:00,726,1044,511,0,1050,1055,611
2020-11-06 00:00:00,1041,1043,1127,200,835,1061,1313
2020-11-07 00:00:00,1155,978,639,0,0,0,0
2020-11-08 00:00:00,0,0,0,0,762,701,522
2020-11-09 00:00:00,836,913,620,0,1096,1100,581
2020-11-10 00:00:00,698,985,1016,0,881,901,1428
2020-11-11 00:00:00,876,1031,725,0,1688,1210,575
2020-11-12 00:00:00,1455,1056,647,0,481,980,819
2020-11-13 00:00:00,170,795,870,0,621,1103,511
2020-11-14 00:00:00,814,745,1196,0,0,0,0
2020-11-15 00:00:00,0,0,0,0,700,748,451
2020-11-16 00:00:00,853,1174,605,0,1162,1095,882
2020-11-17 00:00:00,709,1014,1095,716,876,948,823
2020-11-18 00:00:00,882,1108,572,1898,959,1211,789
2020-11-19 00:00:00,796,1120,783,1537,1200,1003,569
2020-11-20 00:00:00,804,1150,502,1420,901,1001,561
2020-11-21 00:00:00,931,989,464,1132,0,0,0
2020-11-22 00:00:00,0,0,0,0,808,890,524
2020-11-23 00:00:00,1100,936,548,1197,940,926,526
2020-11-24 00:00:00,780,1068,691,1629,530,912,1062
2020-11-25 00:00:00,717,972,522,1326,1120,1111,585
2020-11-26 00:00:00,926,931,575,1279,836,936,651
2020-11-27 00:00:00,953,648,438,1164,1043,852,622
2020-11-28 00:00:00,971,940,525,1261,0,0,0
2020-11-29 00:00:00,0,0,0,0,0,0,0
2020-11-30 00:00:00,1069,1070,533,1100,851,1030,602
2020-12-01 00:00:00,885,966,602,2019,757,810,596
2020-12-02 00:00:00,892,896,547,1712,892,955,767
2020-12-03 00:00:00,495,987,635,1840,1022,1121,518
2020-12-04 00:00:00,1057,1149,586,830,663,1051,688
2020-12-05 00:00:00,767,955,596,836,0,0,0
2020-12-06 00:00:00,0,0,0,0,0,0,0
